SEQ,SITE_CODE,SITE_NAME,FATHER_AGE,MOTHER_AGE,BIRTH_CNT,SEX,UPDATE_DATE
75,65000010,新北市板橋區,35～39歲,20～24歲,17,男,2021-02-02
76,65000010,新北市板橋區,35～39歲,25～29歲,60,男,2021-02-02
77,65000010,新北市板橋區,35～39歲,30～34歲,209,男,2021-02-02
78,65000010,新北市板橋區,35～39歲,35～39歲,316,男,2021-02-02
79,65000010,新北市板橋區,35～39歲,40～44歲,32,男,2021-02-02
80,65000010,新北市板橋區,35～39歲,45～49歲,0,男,2021-02-02
81,65000010,新北市板橋區,35～39歲,50歲以上,0,男,2021-02-02
82,65000010,新北市板橋區,35～39歲,未滿15歲,0,女,2021-02-02
83,65000010,新北市板橋區,35～39歲,15～19歲,1,女,2021-02-02
84,65000010,新北市板橋區,35～39歲,20～24歲,10,女,2021-02-02
85,65000010,新北市板橋區,35～39歲,25～29歲,53,女,2021-02-02
86,65000010,新北市板橋區,35～39歲,30～34歲,228,女,2021-02-02
87,65000010,新北市板橋區,35～39歲,35～39歲,284,女,2021-02-02
88,65000010,新北市板橋區,35～39歲,40～44歲,35,女,2021-02-02
89,65000010,新北市板橋區,35～39歲,45～49歲,0,女,2021-02-02
90,65000010,新北市板橋區,35～39歲,50歲以上,0,女,2021-02-02
91,65000010,新北市板橋區,40～44歲,未滿15歲,0,男,2021-02-02
92,65000010,新北市板橋區,40～44歲,15～19歲,0,男,2021-02-02
93,65000010,新北市板橋區,40～44歲,20～24歲,5,男,2021-02-02
94,65000010,新北市板橋區,40～44歲,25～29歲,18,男,2021-02-02
95,65000010,新北市板橋區,40～44歲,30～34歲,58,男,2021-02-02
96,65000010,新北市板橋區,40～44歲,35～39歲,139,男,2021-02-02
97,65000010,新北市板橋區,40～44歲,40～44歲,69,男,2021-02-02
98,65000010,新北市板橋區,40～44歲,45～49歲,3,男,2021-02-02
99,65000010,新北市板橋區,40～44歲,50歲以上,0,男,2021-02-02
100,65000010,新北市板橋區,40～44歲,未滿15歲,0,女,2021-02-02
101,65000010,新北市板橋區,40～44歲,15～19歲,1,女,2021-02-02
102,65000010,新北市板橋區,40～44歲,20～24歲,5,女,2021-02-02
103,65000010,新北市板橋區,40～44歲,25～29歲,21,女,2021-02-02
104,65000010,新北市板橋區,40～44歲,30～34歲,61,女,2021-02-02
105,65000010,新北市板橋區,40～44歲,35～39歲,134,女,2021-02-02
106,65000010,新北市板橋區,40～44歲,40～44歲,74,女,2021-02-02
107,65000010,新北市板橋區,40～44歲,45～49歲,2,女,2021-02-02
108,65000010,新北市板橋區,40～44歲,50歲以上,0,女,2021-02-02
109,65000010,新北市板橋區,45～49歲,未滿15歲,0,男,2021-02-02
110,65000010,新北市板橋區,45～49歲,15～19歲,0,男,2021-02-02
111,65000010,新北市板橋區,45～49歲,20～24歲,2,男,2021-02-02
112,65000010,新北市板橋區,45～49歲,25～29歲,3,男,2021-02-02
113,65000010,新北市板橋區,45～49歲,30～34歲,8,男,2021-02-02
114,65000010,新北市板橋區,45～49歲,35～39歲,24,男,2021-02-02
115,65000010,新北市板橋區,45～49歲,40～44歲,15,男,2021-02-02
116,65000010,新北市板橋區,45～49歲,45～49歲,6,男,2021-02-02
117,65000010,新北市板橋區,45～49歲,50歲以上,0,男,2021-02-02
118,65000010,新北市板橋區,45～49歲,未滿15歲,0,女,2021-02-02
119,65000010,新北市板橋區,45～49歲,15～19歲,0,女,2021-02-02
120,65000010,新北市板橋區,45～49歲,20～24歲,0,女,2021-02-02
121,65000010,新北市板橋區,45～49歲,25～29歲,4,女,2021-02-02
122,65000010,新北市板橋區,45～49歲,30～34歲,3,女,2021-02-02
123,65000010,新北市板橋區,45～49歲,35～39歲,27,女,2021-02-02
124,65000010,新北市板橋區,45～49歲,40～44歲,25,女,2021-02-02
125,65000010,新北市板橋區,45～49歲,45～49歲,2,女,2021-02-02
126,65000010,新北市板橋區,45～49歲,50歲以上,0,女,2021-02-02
127,65000010,新北市板橋區,50～54歲,未滿15歲,0,男,2021-02-02
128,65000010,新北市板橋區,50～54歲,15～19歲,0,男,2021-02-02
129,65000010,新北市板橋區,50～54歲,20～24歲,2,男,2021-02-02
130,65000010,新北市板橋區,50～54歲,25～29歲,0,男,2021-02-02
131,65000010,新北市板橋區,50～54歲,30～34歲,4,男,2021-02-02
132,65000010,新北市板橋區,50～54歲,35～39歲,9,男,2021-02-02
133,65000010,新北市板橋區,50～54歲,40～44歲,9,男,2021-02-02
134,65000010,新北市板橋區,50～54歲,45～49歲,1,男,2021-02-02
135,65000010,新北市板橋區,50～54歲,50歲以上,0,男,2021-02-02
136,65000010,新北市板橋區,50～54歲,未滿15歲,0,女,2021-02-02
137,65000010,新北市板橋區,50～54歲,15～19歲,0,女,2021-02-02
138,65000010,新北市板橋區,50～54歲,20～24歲,0,女,2021-02-02
139,65000010,新北市板橋區,50～54歲,25～29歲,0,女,2021-02-02
140,65000010,新北市板橋區,50～54歲,30～34歲,5,女,2021-02-02
141,65000010,新北市板橋區,50～54歲,35～39歲,2,女,2021-02-02
142,65000010,新北市板橋區,50～54歲,40～44歲,4,女,2021-02-02
143,65000010,新北市板橋區,50～54歲,45～49歲,1,女,2021-02-02
144,65000010,新北市板橋區,50～54歲,50歲以上,0,女,2021-02-02
145,65000010,新北市板橋區,55～59歲,未滿15歲,0,男,2021-02-02
146,65000010,新北市板橋區,55～59歲,15～19歲,0,男,2021-02-02
147,65000010,新北市板橋區,55～59歲,20～24歲,0,男,2021-02-02
148,65000010,新北市板橋區,55～59歲,25～29歲,0,男,2021-02-02
149,65000010,新北市板橋區,55～59歲,30～34歲,0,男,2021-02-02
150,65000010,新北市板橋區,55～59歲,35～39歲,2,男,2021-02-02
151,65000010,新北市板橋區,55～59歲,40～44歲,2,男,2021-02-02
152,65000010,新北市板橋區,55～59歲,45～49歲,1,男,2021-02-02
153,65000010,新北市板橋區,55～59歲,50歲以上,0,男,2021-02-02
154,65000010,新北市板橋區,55～59歲,未滿15歲,0,女,2021-02-02
155,65000010,新北市板橋區,55～59歲,15～19歲,0,女,2021-02-02
156,65000010,新北市板橋區,55～59歲,20～24歲,0,女,2021-02-02
157,65000010,新北市板橋區,55～59歲,25～29歲,1,女,2021-02-02
158,65000010,新北市板橋區,55～59歲,30～34歲,1,女,2021-02-02
159,65000010,新北市板橋區,55～59歲,35～39歲,2,女,2021-02-02
160,65000010,新北市板橋區,55～59歲,40～44歲,0,女,2021-02-02
161,65000010,新北市板橋區,55～59歲,45～49歲,1,女,2021-02-02
162,65000010,新北市板橋區,55～59歲,50歲以上,0,女,2021-02-02
163,65000010,新北市板橋區,60歲以上,未滿15歲,0,男,2021-02-02
164,65000010,新北市板橋區,60歲以上,15～19歲,0,男,2021-02-02
165,65000010,新北市板橋區,60歲以上,20～24歲,0,男,2021-02-02
166,65000010,新北市板橋區,60歲以上,25～29歲,0,男,2021-02-02
167,65000010,新北市板橋區,60歲以上,30～34歲,0,男,2021-02-02
168,65000010,新北市板橋區,60歲以上,35～39歲,3,男,2021-02-02
169,65000010,新北市板橋區,60歲以上,40～44歲,0,男,2021-02-02
170,65000010,新北市板橋區,60歲以上,45～49歲,0,男,2021-02-02
171,65000010,新北市板橋區,60歲以上,50歲以上,0,男,2021-02-02
172,65000010,新北市板橋區,60歲以上,未滿15歲,0,女,2021-02-02
173,65000010,新北市板橋區,60歲以上,15～19歲,0,女,2021-02-02
174,65000010,新北市板橋區,60歲以上,20～24歲,0,女,2021-02-02
175,65000010,新北市板橋區,60歲以上,25～29歲,0,女,2021-02-02
176,65000010,新北市板橋區,60歲以上,30～34歲,0,女,2021-02-02
177,65000010,新北市板橋區,60歲以上,35～39歲,1,女,2021-02-02
178,65000010,新北市板橋區,60歲以上,40～44歲,0,女,2021-02-02
179,65000010,新北市板橋區,60歲以上,45～49歲,0,女,2021-02-02
180,65000010,新北市板橋區,60歲以上,50歲以上,0,女,2021-02-02
181,65000020,新北市三重區,未滿20歲,未滿15歲,0,男,2021-02-02
182,65000020,新北市三重區,未滿20歲,15～19歲,1,男,2021-02-02
183,65000020,新北市三重區,未滿20歲,20～24歲,0,男,2021-02-02
184,65000020,新北市三重區,未滿20歲,25～29歲,1,男,2021-02-02
185,65000020,新北市三重區,未滿20歲,30～34歲,0,男,2021-02-02
186,65000020,新北市三重區,未滿20歲,35～39歲,0,男,2021-02-02
187,65000020,新北市三重區,未滿20歲,40～44歲,0,男,2021-02-02
188,65000020,新北市三重區,未滿20歲,45～49歲,0,男,2021-02-02
189,65000020,新北市三重區,未滿20歲,50歲以上,0,男,2021-02-02
190,65000020,新北市三重區,未滿20歲,未滿15歲,0,女,2021-02-02
191,65000020,新北市三重區,未滿20歲,15～19歲,0,女,2021-02-02
192,65000020,新北市三重區,未滿20歲,20～24歲,2,女,2021-02-02
193,65000020,新北市三重區,未滿20歲,25～29歲,0,女,2021-02-02
194,65000020,新北市三重區,未滿20歲,30～34歲,0,女,2021-02-02
195,65000020,新北市三重區,未滿20歲,35～39歲,0,女,2021-02-02
196,65000020,新北市三重區,未滿20歲,40～44歲,0,女,2021-02-02
197,65000020,新北市三重區,未滿20歲,45～49歲,0,女,2021-02-02
198,65000020,新北市三重區,未滿20歲,50歲以上,0,女,2021-02-02
199,65000020,新北市三重區,20～24歲,未滿15歲,0,男,2021-02-02
200,65000020,新北市三重區,20～24歲,15～19歲,3,男,2021-02-02
201,65000020,新北市三重區,20～24歲,20～24歲,24,男,2021-02-02
202,65000020,新北市三重區,20～24歲,25～29歲,8,男,2021-02-02
203,65000020,新北市三重區,20～24歲,30～34歲,2,男,2021-02-02
204,65000020,新北市三重區,20～24歲,35～39歲,1,男,2021-02-02
205,65000020,新北市三重區,20～24歲,40～44歲,0,男,2021-02-02
206,65000020,新北市三重區,20～24歲,45～49歲,0,男,2021-02-02
207,65000020,新北市三重區,20～24歲,50歲以上,0,男,2021-02-02
208,65000020,新北市三重區,20～24歲,未滿15歲,0,女,2021-02-02
209,65000020,新北市三重區,20～24歲,15～19歲,4,女,2021-02-02
210,65000020,新北市三重區,20～24歲,20～24歲,19,女,2021-02-02
211,65000020,新北市三重區,20～24歲,25～29歲,7,女,2021-02-02
212,65000020,新北市三重區,20～24歲,30～34歲,2,女,2021-02-02
213,65000020,新北市三重區,20～24歲,35～39歲,0,女,2021-02-02
214,65000020,新北市三重區,20～24歲,40～44歲,0,女,2021-02-02
215,65000020,新北市三重區,20～24歲,45～49歲,0,女,2021-02-02
216,65000020,新北市三重區,20～24歲,50歲以上,0,女,2021-02-02
217,65000020,新北市三重區,25～29歲,未滿15歲,0,男,2021-02-02
218,65000020,新北市三重區,25～29歲,15～19歲,0,男,2021-02-02
219,65000020,新北市三重區,25～29歲,20～24歲,36,男,2021-02-02
220,65000020,新北市三重區,25～29歲,25～29歲,89,男,2021-02-02
221,65000020,新北市三重區,25～29歲,30～34歲,26,男,2021-02-02
222,65000020,新北市三重區,25～29歲,35～39歲,6,男,2021-02-02
223,65000020,新北市三重區,25～29歲,40～44歲,2,男,2021-02-02
224,65000020,新北市三重區,25～29歲,45～49歲,0,男,2021-02-02
225,65000020,新北市三重區,25～29歲,50歲以上,0,男,2021-02-02
226,65000020,新北市三重區,25～29歲,未滿15歲,0,女,2021-02-02
227,65000020,新北市三重區,25～29歲,15～19歲,6,女,2021-02-02
228,65000020,新北市三重區,25～29歲,20～24歲,23,女,2021-02-02
229,65000020,新北市三重區,25～29歲,25～29歲,105,女,2021-02-02
230,65000020,新北市三重區,25～29歲,30～34歲,32,女,2021-02-02
231,65000020,新北市三重區,25～29歲,35～39歲,11,女,2021-02-02
232,65000020,新北市三重區,25～29歲,40～44歲,2,女,2021-02-02
233,65000020,新北市三重區,25～29歲,45～49歲,0,女,2021-02-02
234,65000020,新北市三重區,25～29歲,50歲以上,0,女,2021-02-02
235,65000020,新北市三重區,30～34歲,未滿15歲,0,男,2021-02-02
236,65000020,新北市三重區,30～34歲,15～19歲,1,男,2021-02-02
237,65000020,新北市三重區,30～34歲,20～24歲,17,男,2021-02-02
238,65000020,新北市三重區,30～34歲,25～29歲,82,男,2021-02-02
239,65000020,新北市三重區,30～34歲,30～34歲,200,男,2021-02-02
240,65000020,新北市三重區,30～34歲,35～39歲,40,男,2021-02-02
241,65000020,新北市三重區,30～34歲,40～44歲,5,男,2021-02-02
242,65000020,新北市三重區,30～34歲,45～49歲,0,男,2021-02-02
243,65000020,新北市三重區,30～34歲,50歲以上,0,男,2021-02-02
244,65000020,新北市三重區,30～34歲,未滿15歲,0,女,2021-02-02
245,65000020,新北市三重區,30～34歲,15～19歲,1,女,2021-02-02
246,65000020,新北市三重區,30～34歲,20～24歲,17,女,2021-02-02
247,65000020,新北市三重區,30～34歲,25～29歲,89,女,2021-02-02
248,65000020,新北市三重區,30～34歲,30～34歲,227,女,2021-02-02
249,65000020,新北市三重區,30～34歲,35～39歲,43,女,2021-02-02
250,65000020,新北市三重區,30～34歲,40～44歲,3,女,2021-02-02
251,65000020,新北市三重區,30～34歲,45～49歲,0,女,2021-02-02
252,65000020,新北市三重區,30～34歲,50歲以上,0,女,2021-02-02
253,65000020,新北市三重區,35～39歲,未滿15歲,0,男,2021-02-02
254,65000020,新北市三重區,35～39歲,15～19歲,2,男,2021-02-02
255,65000020,新北市三重區,35～39歲,20～24歲,14,男,2021-02-02
256,65000020,新北市三重區,35～39歲,25～29歲,36,男,2021-02-02
257,65000020,新北市三重區,35～39歲,30～34歲,153,男,2021-02-02
258,65000020,新北市三重區,35～39歲,35～39歲,182,男,2021-02-02
259,65000020,新北市三重區,35～39歲,40～44歲,25,男,2021-02-02
260,65000020,新北市三重區,35～39歲,45～49歲,0,男,2021-02-02
261,65000020,新北市三重區,35～39歲,50歲以上,0,男,2021-02-02
262,65000020,新北市三重區,35～39歲,未滿15歲,0,女,2021-02-02
263,65000020,新北市三重區,35～39歲,15～19歲,1,女,2021-02-02
264,65000020,新北市三重區,35～39歲,20～24歲,7,女,2021-02-02
265,65000020,新北市三重區,35～39歲,25～29歲,38,女,2021-02-02
266,65000020,新北市三重區,35～39歲,30～34歲,128,女,2021-02-02
267,65000020,新北市三重區,35～39歲,35～39歲,169,女,2021-02-02
268,65000020,新北市三重區,35～39歲,40～44歲,24,女,2021-02-02
269,65000020,新北市三重區,35～39歲,45～49歲,0,女,2021-02-02
270,65000020,新北市三重區,35～39歲,50歲以上,0,女,2021-02-02
271,65000020,新北市三重區,40～44歲,未滿15歲,0,男,2021-02-02
272,65000020,新北市三重區,40～44歲,15～19歲,3,男,2021-02-02
273,65000020,新北市三重區,40～44歲,20～24歲,7,男,2021-02-02
274,65000020,新北市三重區,40～44歲,25～29歲,14,男,2021-02-02
275,65000020,新北市三重區,40～44歲,30～34歲,39,男,2021-02-02
276,65000020,新北市三重區,40～44歲,35～39歲,88,男,2021-02-02
277,65000020,新北市三重區,40～44歲,40～44歲,32,男,2021-02-02
278,65000020,新北市三重區,40～44歲,45～49歲,2,男,2021-02-02
279,65000020,新北市三重區,40～44歲,50歲以上,0,男,2021-02-02
280,65000020,新北市三重區,40～44歲,未滿15歲,0,女,2021-02-02
281,65000020,新北市三重區,40～44歲,15～19歲,0,女,2021-02-02
282,65000020,新北市三重區,40～44歲,20～24歲,3,女,2021-02-02
283,65000020,新北市三重區,40～44歲,25～29歲,7,女,2021-02-02
284,65000020,新北市三重區,40～44歲,30～34歲,44,女,2021-02-02
285,65000020,新北市三重區,40～44歲,35～39歲,85,女,2021-02-02
286,65000020,新北市三重區,40～44歲,40～44歲,39,女,2021-02-02
287,65000020,新北市三重區,40～44歲,45～49歲,1,女,2021-02-02
288,65000020,新北市三重區,40～44歲,50歲以上,0,女,2021-02-02
289,65000020,新北市三重區,45～49歲,未滿15歲,0,男,2021-02-02
290,65000020,新北市三重區,45～49歲,15～19歲,1,男,2021-02-02
291,65000020,新北市三重區,45～49歲,20～24歲,2,男,2021-02-02
292,65000020,新北市三重區,45～49歲,25～29歲,5,男,2021-02-02
293,65000020,新北市三重區,45～49歲,30～34歲,4,男,2021-02-02
294,65000020,新北市三重區,45～49歲,35～39歲,18,男,2021-02-02
295,65000020,新北市三重區,45～49歲,40～44歲,9,男,2021-02-02
296,65000020,新北市三重區,45～49歲,45～49歲,1,男,2021-02-02
297,65000020,新北市三重區,45～49歲,50歲以上,0,男,2021-02-02
298,65000020,新北市三重區,45～49歲,未滿15歲,0,女,2021-02-02
299,65000020,新北市三重區,45～49歲,15～19歲,0,女,2021-02-02
300,65000020,新北市三重區,45～49歲,20～24歲,1,女,2021-02-02
301,65000020,新北市三重區,45～49歲,25～29歲,3,女,2021-02-02
302,65000020,新北市三重區,45～49歲,30～34歲,5,女,2021-02-02
303,65000020,新北市三重區,45～49歲,35～39歲,15,女,2021-02-02
304,65000020,新北市三重區,45～49歲,40～44歲,11,女,2021-02-02
305,65000020,新北市三重區,45～49歲,45～49歲,1,女,2021-02-02
306,65000020,新北市三重區,45～49歲,50歲以上,0,女,2021-02-02
307,65000020,新北市三重區,50～54歲,未滿15歲,0,男,2021-02-02
308,65000020,新北市三重區,50～54歲,15～19歲,0,男,2021-02-02
309,65000020,新北市三重區,50～54歲,20～24歲,0,男,2021-02-02
310,65000020,新北市三重區,50～54歲,25～29歲,1,男,2021-02-02
311,65000020,新北市三重區,50～54歲,30～34歲,2,男,2021-02-02
312,65000020,新北市三重區,50～54歲,35～39歲,5,男,2021-02-02
313,65000020,新北市三重區,50～54歲,40～44歲,7,男,2021-02-02
314,65000020,新北市三重區,50～54歲,45～49歲,1,男,2021-02-02
315,65000020,新北市三重區,50～54歲,50歲以上,1,男,2021-02-02
316,65000020,新北市三重區,50～54歲,未滿15歲,0,女,2021-02-02
317,65000020,新北市三重區,50～54歲,15～19歲,0,女,2021-02-02
318,65000020,新北市三重區,50～54歲,20～24歲,1,女,2021-02-02
319,65000020,新北市三重區,50～54歲,25～29歲,0,女,2021-02-02
320,65000020,新北市三重區,50～54歲,30～34歲,3,女,2021-02-02
321,65000020,新北市三重區,50～54歲,35～39歲,1,女,2021-02-02
322,65000020,新北市三重區,50～54歲,40～44歲,6,女,2021-02-02
323,65000020,新北市三重區,50～54歲,45～49歲,2,女,2021-02-02
324,65000020,新北市三重區,50～54歲,50歲以上,2,女,2021-02-02
325,65000020,新北市三重區,55～59歲,未滿15歲,0,男,2021-02-02
326,65000020,新北市三重區,55～59歲,15～19歲,0,男,2021-02-02
327,65000020,新北市三重區,55～59歲,20～24歲,1,男,2021-02-02
328,65000020,新北市三重區,55～59歲,25～29歲,0,男,2021-02-02
329,65000020,新北市三重區,55～59歲,30～34歲,0,男,2021-02-02
330,65000020,新北市三重區,55～59歲,35～39歲,2,男,2021-02-02
331,65000020,新北市三重區,55～59歲,40～44歲,0,男,2021-02-02
332,65000020,新北市三重區,55～59歲,45～49歲,1,男,2021-02-02
333,65000020,新北市三重區,55～59歲,50歲以上,0,男,2021-02-02
334,65000020,新北市三重區,55～59歲,未滿15歲,0,女,2021-02-02
335,65000020,新北市三重區,55～59歲,15～19歲,0,女,2021-02-02
336,65000020,新北市三重區,55～59歲,20～24歲,0,女,2021-02-02
337,65000020,新北市三重區,55～59歲,25～29歲,0,女,2021-02-02
338,65000020,新北市三重區,55～59歲,30～34歲,0,女,2021-02-02
339,65000020,新北市三重區,55～59歲,35～39歲,0,女,2021-02-02
340,65000020,新北市三重區,55～59歲,40～44歲,2,女,2021-02-02
341,65000020,新北市三重區,55～59歲,45～49歲,0,女,2021-02-02
342,65000020,新北市三重區,55～59歲,50歲以上,0,女,2021-02-02
343,65000020,新北市三重區,60歲以上,未滿15歲,0,男,2021-02-02
344,65000020,新北市三重區,60歲以上,15～19歲,0,男,2021-02-02
345,65000020,新北市三重區,60歲以上,20～24歲,0,男,2021-02-02
346,65000020,新北市三重區,60歲以上,25～29歲,0,男,2021-02-02
347,65000020,新北市三重區,60歲以上,30～34歲,0,男,2021-02-02
348,65000020,新北市三重區,60歲以上,35～39歲,0,男,2021-02-02
349,65000020,新北市三重區,60歲以上,40～44歲,1,男,2021-02-02
350,65000020,新北市三重區,60歲以上,45～49歲,0,男,2021-02-02
351,65000020,新北市三重區,60歲以上,50歲以上,0,男,2021-02-02
352,65000020,新北市三重區,60歲以上,未滿15歲,0,女,2021-02-02
353,65000020,新北市三重區,60歲以上,15～19歲,0,女,2021-02-02
354,65000020,新北市三重區,60歲以上,20～24歲,0,女,2021-02-02
355,65000020,新北市三重區,60歲以上,25～29歲,0,女,2021-02-02
356,65000020,新北市三重區,60歲以上,30～34歲,0,女,2021-02-02
357,65000020,新北市三重區,60歲以上,35～39歲,0,女,2021-02-02
358,65000020,新北市三重區,60歲以上,40～44歲,0,女,2021-02-02
359,65000020,新北市三重區,60歲以上,45～49歲,0,女,2021-02-02
360,65000020,新北市三重區,60歲以上,50歲以上,0,女,2021-02-02
361,65000030,新北市中和區,未滿20歲,未滿15歲,0,男,2021-02-02
362,65000030,新北市中和區,未滿20歲,15～19歲,2,男,2021-02-02
363,65000030,新北市中和區,未滿20歲,20～24歲,0,男,2021-02-02
364,65000030,新北市中和區,未滿20歲,25～29歲,0,男,2021-02-02
365,65000030,新北市中和區,未滿20歲,30～34歲,0,男,2021-02-02
366,65000030,新北市中和區,未滿20歲,35～39歲,0,男,2021-02-02
367,65000030,新北市中和區,未滿20歲,40～44歲,0,男,2021-02-02
368,65000030,新北市中和區,未滿20歲,45～49歲,0,男,2021-02-02
369,65000030,新北市中和區,未滿20歲,50歲以上,0,男,2021-02-02
370,65000030,新北市中和區,未滿20歲,未滿15歲,0,女,2021-02-02
371,65000030,新北市中和區,未滿20歲,15～19歲,1,女,2021-02-02
372,65000030,新北市中和區,未滿20歲,20～24歲,1,女,2021-02-02
373,65000030,新北市中和區,未滿20歲,25～29歲,0,女,2021-02-02
374,65000030,新北市中和區,未滿20歲,30～34歲,0,女,2021-02-02
375,65000030,新北市中和區,未滿20歲,35～39歲,0,女,2021-02-02
376,65000030,新北市中和區,未滿20歲,40～44歲,0,女,2021-02-02
377,65000030,新北市中和區,未滿20歲,45～49歲,0,女,2021-02-02
