SEQ,SITE_CODE,SITE_NAME,SEX,BIRTH_CNT,FATHER_AGE,MOTHER_AGE,UPDATE_DATE
127,65000010,新北市板橋區,男,0,50～54歲,未滿15歲,20210202
128,65000010,新北市板橋區,男,0,50～54歲,15～19歲,20210202
129,65000010,新北市板橋區,男,2,50～54歲,20～24歲,20210202
130,65000010,新北市板橋區,男,0,50～54歲,25～29歲,20210202
131,65000010,新北市板橋區,男,4,50～54歲,30～34歲,20210202
132,65000010,新北市板橋區,男,9,50～54歲,35～39歲,20210202
133,65000010,新北市板橋區,男,9,50～54歲,40～44歲,20210202
134,65000010,新北市板橋區,男,1,50～54歲,45～49歲,20210202
135,65000010,新北市板橋區,男,0,50～54歲,50歲以上,20210202
136,65000010,新北市板橋區,女,0,50～54歲,未滿15歲,20210202
137,65000010,新北市板橋區,女,0,50～54歲,15～19歲,20210202
138,65000010,新北市板橋區,女,0,50～54歲,20～24歲,20210202
139,65000010,新北市板橋區,女,0,50～54歲,25～29歲,20210202
140,65000010,新北市板橋區,女,5,50～54歲,30～34歲,20210202
141,65000010,新北市板橋區,女,2,50～54歲,35～39歲,20210202
142,65000010,新北市板橋區,女,4,50～54歲,40～44歲,20210202
143,65000010,新北市板橋區,女,1,50～54歲,45～49歲,20210202
144,65000010,新北市板橋區,女,0,50～54歲,50歲以上,20210202
145,65000010,新北市板橋區,男,0,55～59歲,未滿15歲,20210202
146,65000010,新北市板橋區,男,0,55～59歲,15～19歲,20210202
147,65000010,新北市板橋區,男,0,55～59歲,20～24歲,20210202
148,65000010,新北市板橋區,男,0,55～59歲,25～29歲,20210202
149,65000010,新北市板橋區,男,0,55～59歲,30～34歲,20210202
150,65000010,新北市板橋區,男,2,55～59歲,35～39歲,20210202
151,65000010,新北市板橋區,男,2,55～59歲,40～44歲,20210202
152,65000010,新北市板橋區,男,1,55～59歲,45～49歲,20210202
153,65000010,新北市板橋區,男,0,55～59歲,50歲以上,20210202
154,65000010,新北市板橋區,女,0,55～59歲,未滿15歲,20210202
155,65000010,新北市板橋區,女,0,55～59歲,15～19歲,20210202
156,65000010,新北市板橋區,女,0,55～59歲,20～24歲,20210202
157,65000010,新北市板橋區,女,1,55～59歲,25～29歲,20210202
158,65000010,新北市板橋區,女,1,55～59歲,30～34歲,20210202
159,65000010,新北市板橋區,女,2,55～59歲,35～39歲,20210202
160,65000010,新北市板橋區,女,0,55～59歲,40～44歲,20210202
161,65000010,新北市板橋區,女,1,55～59歲,45～49歲,20210202
162,65000010,新北市板橋區,女,0,55～59歲,50歲以上,20210202
163,65000010,新北市板橋區,男,0,60歲以上,未滿15歲,20210202
164,65000010,新北市板橋區,男,0,60歲以上,15～19歲,20210202
165,65000010,新北市板橋區,男,0,60歲以上,20～24歲,20210202
166,65000010,新北市板橋區,男,0,60歲以上,25～29歲,20210202
167,65000010,新北市板橋區,男,0,60歲以上,30～34歲,20210202
168,65000010,新北市板橋區,男,3,60歲以上,35～39歲,20210202
169,65000010,新北市板橋區,男,0,60歲以上,40～44歲,20210202
170,65000010,新北市板橋區,男,0,60歲以上,45～49歲,20210202
171,65000010,新北市板橋區,男,0,60歲以上,50歲以上,20210202
172,65000010,新北市板橋區,女,0,60歲以上,未滿15歲,20210202
173,65000010,新北市板橋區,女,0,60歲以上,15～19歲,20210202
174,65000010,新北市板橋區,女,0,60歲以上,20～24歲,20210202
175,65000010,新北市板橋區,女,0,60歲以上,25～29歲,20210202
176,65000010,新北市板橋區,女,0,60歲以上,30～34歲,20210202
177,65000010,新北市板橋區,女,1,60歲以上,35～39歲,20210202
178,65000010,新北市板橋區,女,0,60歲以上,40～44歲,20210202
179,65000010,新北市板橋區,女,0,60歲以上,45～49歲,20210202
180,65000010,新北市板橋區,女,0,60歲以上,50歲以上,20210202
181,65000020,新北市三重區,男,0,未滿20歲,未滿15歲,20210202
182,65000020,新北市三重區,男,1,未滿20歲,15～19歲,20210202
183,65000020,新北市三重區,男,0,未滿20歲,20～24歲,20210202
184,65000020,新北市三重區,男,1,未滿20歲,25～29歲,20210202
185,65000020,新北市三重區,男,0,未滿20歲,30～34歲,20210202
186,65000020,新北市三重區,男,0,未滿20歲,35～39歲,20210202
187,65000020,新北市三重區,男,0,未滿20歲,40～44歲,20210202
188,65000020,新北市三重區,男,0,未滿20歲,45～49歲,20210202
189,65000020,新北市三重區,男,0,未滿20歲,50歲以上,20210202
190,65000020,新北市三重區,女,0,未滿20歲,未滿15歲,20210202
191,65000020,新北市三重區,女,0,未滿20歲,15～19歲,20210202
192,65000020,新北市三重區,女,2,未滿20歲,20～24歲,20210202
193,65000020,新北市三重區,女,0,未滿20歲,25～29歲,20210202
194,65000020,新北市三重區,女,0,未滿20歲,30～34歲,20210202
195,65000020,新北市三重區,女,0,未滿20歲,35～39歲,20210202
196,65000020,新北市三重區,女,0,未滿20歲,40～44歲,20210202
197,65000020,新北市三重區,女,0,未滿20歲,45～49歲,20210202
198,65000020,新北市三重區,女,0,未滿20歲,50歲以上,20210202
199,65000020,新北市三重區,男,0,20～24歲,未滿15歲,20210202
200,65000020,新北市三重區,男,3,20～24歲,15～19歲,20210202
201,65000020,新北市三重區,男,24,20～24歲,20～24歲,20210202
202,65000020,新北市三重區,男,8,20～24歲,25～29歲,20210202
203,65000020,新北市三重區,男,2,20～24歲,30～34歲,20210202
204,65000020,新北市三重區,男,1,20～24歲,35～39歲,20210202
205,65000020,新北市三重區,男,0,20～24歲,40～44歲,20210202
206,65000020,新北市三重區,男,0,20～24歲,45～49歲,20210202
207,65000020,新北市三重區,男,0,20～24歲,50歲以上,20210202
208,65000020,新北市三重區,女,0,20～24歲,未滿15歲,20210202
209,65000020,新北市三重區,女,4,20～24歲,15～19歲,20210202
210,65000020,新北市三重區,女,19,20～24歲,20～24歲,20210202
211,65000020,新北市三重區,女,7,20～24歲,25～29歲,20210202
212,65000020,新北市三重區,女,2,20～24歲,30～34歲,20210202
213,65000020,新北市三重區,女,0,20～24歲,35～39歲,20210202
214,65000020,新北市三重區,女,0,20～24歲,40～44歲,20210202
215,65000020,新北市三重區,女,0,20～24歲,45～49歲,20210202
216,65000020,新北市三重區,女,0,20～24歲,50歲以上,20210202
217,65000020,新北市三重區,男,0,25～29歲,未滿15歲,20210202
218,65000020,新北市三重區,男,0,25～29歲,15～19歲,20210202
219,65000020,新北市三重區,男,36,25～29歲,20～24歲,20210202
220,65000020,新北市三重區,男,89,25～29歲,25～29歲,20210202
221,65000020,新北市三重區,男,26,25～29歲,30～34歲,20210202
222,65000020,新北市三重區,男,6,25～29歲,35～39歲,20210202
223,65000020,新北市三重區,男,2,25～29歲,40～44歲,20210202
224,65000020,新北市三重區,男,0,25～29歲,45～49歲,20210202
225,65000020,新北市三重區,男,0,25～29歲,50歲以上,20210202
226,65000020,新北市三重區,女,0,25～29歲,未滿15歲,20210202
227,65000020,新北市三重區,女,6,25～29歲,15～19歲,20210202
228,65000020,新北市三重區,女,23,25～29歲,20～24歲,20210202
229,65000020,新北市三重區,女,105,25～29歲,25～29歲,20210202
230,65000020,新北市三重區,女,32,25～29歲,30～34歲,20210202
231,65000020,新北市三重區,女,11,25～29歲,35～39歲,20210202
232,65000020,新北市三重區,女,2,25～29歲,40～44歲,20210202
233,65000020,新北市三重區,女,0,25～29歲,45～49歲,20210202
234,65000020,新北市三重區,女,0,25～29歲,50歲以上,20210202
235,65000020,新北市三重區,男,0,30～34歲,未滿15歲,20210202
236,65000020,新北市三重區,男,1,30～34歲,15～19歲,20210202
237,65000020,新北市三重區,男,17,30～34歲,20～24歲,20210202
238,65000020,新北市三重區,男,82,30～34歲,25～29歲,20210202
239,65000020,新北市三重區,男,200,30～34歲,30～34歲,20210202
240,65000020,新北市三重區,男,40,30～34歲,35～39歲,20210202
241,65000020,新北市三重區,男,5,30～34歲,40～44歲,20210202
242,65000020,新北市三重區,男,0,30～34歲,45～49歲,20210202
243,65000020,新北市三重區,男,0,30～34歲,50歲以上,20210202
244,65000020,新北市三重區,女,0,30～34歲,未滿15歲,20210202
245,65000020,新北市三重區,女,1,30～34歲,15～19歲,20210202
246,65000020,新北市三重區,女,17,30～34歲,20～24歲,20210202
247,65000020,新北市三重區,女,89,30～34歲,25～29歲,20210202
248,65000020,新北市三重區,女,227,30～34歲,30～34歲,20210202
249,65000020,新北市三重區,女,43,30～34歲,35～39歲,20210202
250,65000020,新北市三重區,女,3,30～34歲,40～44歲,20210202
251,65000020,新北市三重區,女,0,30～34歲,45～49歲,20210202
252,65000020,新北市三重區,女,0,30～34歲,50歲以上,20210202
253,65000020,新北市三重區,男,0,35～39歲,未滿15歲,20210202
254,65000020,新北市三重區,男,2,35～39歲,15～19歲,20210202
255,65000020,新北市三重區,男,14,35～39歲,20～24歲,20210202
256,65000020,新北市三重區,男,36,35～39歲,25～29歲,20210202
257,65000020,新北市三重區,男,153,35～39歲,30～34歲,20210202
258,65000020,新北市三重區,男,182,35～39歲,35～39歲,20210202
259,65000020,新北市三重區,男,25,35～39歲,40～44歲,20210202
260,65000020,新北市三重區,男,0,35～39歲,45～49歲,20210202
261,65000020,新北市三重區,男,0,35～39歲,50歲以上,20210202
262,65000020,新北市三重區,女,0,35～39歲,未滿15歲,20210202
263,65000020,新北市三重區,女,1,35～39歲,15～19歲,20210202
264,65000020,新北市三重區,女,7,35～39歲,20～24歲,20210202
265,65000020,新北市三重區,女,38,35～39歲,25～29歲,20210202
266,65000020,新北市三重區,女,128,35～39歲,30～34歲,20210202
267,65000020,新北市三重區,女,169,35～39歲,35～39歲,20210202
268,65000020,新北市三重區,女,24,35～39歲,40～44歲,20210202
269,65000020,新北市三重區,女,0,35～39歲,45～49歲,20210202
270,65000020,新北市三重區,女,0,35～39歲,50歲以上,20210202
271,65000020,新北市三重區,男,0,40～44歲,未滿15歲,20210202
272,65000020,新北市三重區,男,3,40～44歲,15～19歲,20210202
273,65000020,新北市三重區,男,7,40～44歲,20～24歲,20210202
274,65000020,新北市三重區,男,14,40～44歲,25～29歲,20210202
275,65000020,新北市三重區,男,39,40～44歲,30～34歲,20210202
276,65000020,新北市三重區,男,88,40～44歲,35～39歲,20210202
277,65000020,新北市三重區,男,32,40～44歲,40～44歲,20210202
278,65000020,新北市三重區,男,2,40～44歲,45～49歲,20210202
279,65000020,新北市三重區,男,0,40～44歲,50歲以上,20210202
280,65000020,新北市三重區,女,0,40～44歲,未滿15歲,20210202
281,65000020,新北市三重區,女,0,40～44歲,15～19歲,20210202
282,65000020,新北市三重區,女,3,40～44歲,20～24歲,20210202
283,65000020,新北市三重區,女,7,40～44歲,25～29歲,20210202
284,65000020,新北市三重區,女,44,40～44歲,30～34歲,20210202
285,65000020,新北市三重區,女,85,40～44歲,35～39歲,20210202
286,65000020,新北市三重區,女,39,40～44歲,40～44歲,20210202
287,65000020,新北市三重區,女,1,40～44歲,45～49歲,20210202
288,65000020,新北市三重區,女,0,40～44歲,50歲以上,20210202
289,65000020,新北市三重區,男,0,45～49歲,未滿15歲,20210202
290,65000020,新北市三重區,男,1,45～49歲,15～19歲,20210202
291,65000020,新北市三重區,男,2,45～49歲,20～24歲,20210202
292,65000020,新北市三重區,男,5,45～49歲,25～29歲,20210202
293,65000020,新北市三重區,男,4,45～49歲,30～34歲,20210202
294,65000020,新北市三重區,男,18,45～49歲,35～39歲,20210202
295,65000020,新北市三重區,男,9,45～49歲,40～44歲,20210202
296,65000020,新北市三重區,男,1,45～49歲,45～49歲,20210202
297,65000020,新北市三重區,男,0,45～49歲,50歲以上,20210202
298,65000020,新北市三重區,女,0,45～49歲,未滿15歲,20210202
299,65000020,新北市三重區,女,0,45～49歲,15～19歲,20210202
300,65000020,新北市三重區,女,1,45～49歲,20～24歲,20210202
301,65000020,新北市三重區,女,3,45～49歲,25～29歲,20210202
302,65000020,新北市三重區,女,5,45～49歲,30～34歲,20210202
303,65000020,新北市三重區,女,15,45～49歲,35～39歲,20210202
304,65000020,新北市三重區,女,11,45～49歲,40～44歲,20210202
305,65000020,新北市三重區,女,1,45～49歲,45～49歲,20210202
306,65000020,新北市三重區,女,0,45～49歲,50歲以上,20210202
307,65000020,新北市三重區,男,0,50～54歲,未滿15歲,20210202
308,65000020,新北市三重區,男,0,50～54歲,15～19歲,20210202
309,65000020,新北市三重區,男,0,50～54歲,20～24歲,20210202
310,65000020,新北市三重區,男,1,50～54歲,25～29歲,20210202
311,65000020,新北市三重區,男,2,50～54歲,30～34歲,20210202
312,65000020,新北市三重區,男,5,50～54歲,35～39歲,20210202
313,65000020,新北市三重區,男,7,50～54歲,40～44歲,20210202
314,65000020,新北市三重區,男,1,50～54歲,45～49歲,20210202
315,65000020,新北市三重區,男,1,50～54歲,50歲以上,20210202
316,65000020,新北市三重區,女,0,50～54歲,未滿15歲,20210202
317,65000020,新北市三重區,女,0,50～54歲,15～19歲,20210202
318,65000020,新北市三重區,女,1,50～54歲,20～24歲,20210202
319,65000020,新北市三重區,女,0,50～54歲,25～29歲,20210202
320,65000020,新北市三重區,女,3,50～54歲,30～34歲,20210202
321,65000020,新北市三重區,女,1,50～54歲,35～39歲,20210202
322,65000020,新北市三重區,女,6,50～54歲,40～44歲,20210202
323,65000020,新北市三重區,女,2,50～54歲,45～49歲,20210202
324,65000020,新北市三重區,女,2,50～54歲,50歲以上,20210202
325,65000020,新北市三重區,男,0,55～59歲,未滿15歲,20210202
326,65000020,新北市三重區,男,0,55～59歲,15～19歲,20210202
327,65000020,新北市三重區,男,1,55～59歲,20～24歲,20210202
328,65000020,新北市三重區,男,0,55～59歲,25～29歲,20210202
329,65000020,新北市三重區,男,0,55～59歲,30～34歲,20210202
330,65000020,新北市三重區,男,2,55～59歲,35～39歲,20210202
331,65000020,新北市三重區,男,0,55～59歲,40～44歲,20210202
332,65000020,新北市三重區,男,1,55～59歲,45～49歲,20210202
333,65000020,新北市三重區,男,0,55～59歲,50歲以上,20210202
334,65000020,新北市三重區,女,0,55～59歲,未滿15歲,20210202
335,65000020,新北市三重區,女,0,55～59歲,15～19歲,20210202
336,65000020,新北市三重區,女,0,55～59歲,20～24歲,20210202
337,65000020,新北市三重區,女,0,55～59歲,25～29歲,20210202
338,65000020,新北市三重區,女,0,55～59歲,30～34歲,20210202
339,65000020,新北市三重區,女,0,55～59歲,35～39歲,20210202
340,65000020,新北市三重區,女,2,55～59歲,40～44歲,20210202
341,65000020,新北市三重區,女,0,55～59歲,45～49歲,20210202
342,65000020,新北市三重區,女,0,55～59歲,50歲以上,20210202
343,65000020,新北市三重區,男,0,60歲以上,未滿15歲,20210202
344,65000020,新北市三重區,男,0,60歲以上,15～19歲,20210202
345,65000020,新北市三重區,男,0,60歲以上,20～24歲,20210202
346,65000020,新北市三重區,男,0,60歲以上,25～29歲,20210202
347,65000020,新北市三重區,男,0,60歲以上,30～34歲,20210202
348,65000020,新北市三重區,男,0,60歲以上,35～39歲,20210202
349,65000020,新北市三重區,男,1,60歲以上,40～44歲,20210202
350,65000020,新北市三重區,男,0,60歲以上,45～49歲,20210202
351,65000020,新北市三重區,男,0,60歲以上,50歲以上,20210202
352,65000020,新北市三重區,女,0,60歲以上,未滿15歲,20210202
353,65000020,新北市三重區,女,0,60歲以上,15～19歲,20210202
354,65000020,新北市三重區,女,0,60歲以上,20～24歲,20210202
355,65000020,新北市三重區,女,0,60歲以上,25～29歲,20210202
356,65000020,新北市三重區,女,0,60歲以上,30～34歲,20210202
357,65000020,新北市三重區,女,0,60歲以上,35～39歲,20210202
358,65000020,新北市三重區,女,0,60歲以上,40～44歲,20210202
359,65000020,新北市三重區,女,0,60歲以上,45～49歲,20210202
360,65000020,新北市三重區,女,0,60歲以上,50歲以上,20210202
361,65000030,新北市中和區,男,0,未滿20歲,未滿15歲,20210202
362,65000030,新北市中和區,男,2,未滿20歲,15～19歲,20210202
363,65000030,新北市中和區,男,0,未滿20歲,20～24歲,20210202
364,65000030,新北市中和區,男,0,未滿20歲,25～29歲,20210202
365,65000030,新北市中和區,男,0,未滿20歲,30～34歲,20210202
366,65000030,新北市中和區,男,0,未滿20歲,35～39歲,20210202
367,65000030,新北市中和區,男,0,未滿20歲,40～44歲,20210202
368,65000030,新北市中和區,男,0,未滿20歲,45～49歲,20210202
369,65000030,新北市中和區,男,0,未滿20歲,50歲以上,20210202
370,65000030,新北市中和區,女,0,未滿20歲,未滿15歲,20210202
371,65000030,新北市中和區,女,1,未滿20歲,15～19歲,20210202
372,65000030,新北市中和區,女,1,未滿20歲,20～24歲,20210202
373,65000030,新北市中和區,女,0,未滿20歲,25～29歲,20210202
374,65000030,新北市中和區,女,0,未滿20歲,30～34歲,20210202
375,65000030,新北市中和區,女,0,未滿20歲,35～39歲,20210202
376,65000030,新北市中和區,女,0,未滿20歲,40～44歲,20210202
377,65000030,新北市中和區,女,0,未滿20歲,45～49歲,20210202
378,65000030,新北市中和區,女,0,未滿20歲,50歲以上,20210202
379,65000030,新北市中和區,男,0,20～24歲,未滿15歲,20210202
380,65000030,新北市中和區,男,4,20～24歲,15～19歲,20210202
381,65000030,新北市中和區,男,28,20～24歲,20～24歲,20210202
382,65000030,新北市中和區,男,8,20～24歲,25～29歲,20210202
383,65000030,新北市中和區,男,1,20～24歲,30～34歲,20210202
384,65000030,新北市中和區,男,0,20～24歲,35～39歲,20210202
385,65000030,新北市中和區,男,0,20～24歲,40～44歲,20210202
386,65000030,新北市中和區,男,0,20～24歲,45～49歲,20210202
387,65000030,新北市中和區,男,0,20～24歲,50歲以上,20210202
388,65000030,新北市中和區,女,0,20～24歲,未滿15歲,20210202
389,65000030,新北市中和區,女,4,20～24歲,15～19歲,20210202
390,65000030,新北市中和區,女,24,20～24歲,20～24歲,20210202
391,65000030,新北市中和區,女,4,20～24歲,25～29歲,20210202
392,65000030,新北市中和區,女,1,20～24歲,30～34歲,20210202
393,65000030,新北市中和區,女,0,20～24歲,35～39歲,20210202
394,65000030,新北市中和區,女,0,20～24歲,40～44歲,20210202
395,65000030,新北市中和區,女,0,20～24歲,45～49歲,20210202
396,65000030,新北市中和區,女,0,20～24歲,50歲以上,20210202
397,65000030,新北市中和區,男,0,25～29歲,未滿15歲,20210202
398,65000030,新北市中和區,男,1,25～29歲,15～19歲,20210202
399,65000030,新北市中和區,男,25,25～29歲,20～24歲,20210202
400,65000030,新北市中和區,男,81,25～29歲,25～29歲,20210202
401,65000030,新北市中和區,男,27,25～29歲,30～34歲,20210202
402,65000030,新北市中和區,男,4,25～29歲,35～39歲,20210202
403,65000030,新北市中和區,男,1,25～29歲,40～44歲,20210202
404,65000030,新北市中和區,男,0,25～29歲,45～49歲,20210202
405,65000030,新北市中和區,男,0,25～29歲,50歲以上,20210202
406,65000030,新北市中和區,女,0,25～29歲,未滿15歲,20210202
407,65000030,新北市中和區,女,2,25～29歲,15～19歲,20210202
408,65000030,新北市中和區,女,18,25～29歲,20～24歲,20210202
409,65000030,新北市中和區,女,74,25～29歲,25～29歲,20210202
410,65000030,新北市中和區,女,24,25～29歲,30～34歲,20210202
